prolific_id,start_time,original_statement,original_label,pass_verification,label_alignment,redundant_content,natural_flow,response_timestamp
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,Do  you think that it is safe to go to a large outdoor party where people need to show proof of vaccination  (not booster) or proof of a recent negative COVID test?,favoring,0,2,4,4,2024-12-16T06:57:56.788Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Um, you know that the last couple of replies have been from someone other than Esprqii? Right?",impolite,0,4,4,4,2024-12-16T06:58:32.075Z
58d9a79c33fef3000118abdf,2024-12-16T06:17:46.383Z,"Note them where? On their talk page, or by adding them to the list you created at ArbCom so a clerk can notify them?",impolite,0,4,4,4,2024-12-16T06:58:48.772Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Holy shit bro,negative,1,4,2,4,2024-12-16T07:02:22.881Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Um, you know that the last couple of replies have been from someone other than Esprqii? Right?",impolite,0,2,2,3,2024-12-16T07:03:01.960Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"The proper title of this image should be Eszopiclone.svg, since it depicts the S enantiomer. Could you change the title so I can upload an image of the racemic compound instead?",polite,1,4,1,4,2024-12-16T07:03:55.202Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I just know the government is gonna lock us all down in spite because they can't have their Xmas party,not sarcastic,0,4,1,3,2024-12-16T07:05:09.794Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Sunday Oliseh reacts to Super Eagles goallessdraw with Tanzania via,neutral,0,5,4,4,2024-12-16T07:05:47.399Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"thanks for your input, it was such a pleasure interacting with you, now that the overlapping projects assessment are done, we need never interact again. projects opting out of policy, how charming, some projects are more equal than others, can i take a vote on SI project opting out of copyright vios?",polite,0,2,1,4,2024-12-16T07:06:20.159Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I love my friends,not sarcastic,1,5,4,5,2024-12-16T07:06:42.731Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I truly believe that and that's why I'm against Planned Parenthood.,against,1,5,2,3,2024-12-16T07:07:03.184Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,You look fantastic in that new dress.  It shows off your figure.,sarcastic,0,4,2,4,2024-12-16T07:07:24.986Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for!,neutral,0,3,4,3,2024-12-16T07:07:44.864Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Ashley Bloomfield ""we need to ensure that COSUMERS are well informed of this rare side effect and know when to seek help."" -thank you for informing me of this serious side effect, I will say NO to the vaccine.",against,0,5,3,5,2024-12-16T07:08:18.079Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,It's crazy how you can tell someone what you're going through 1000x and they just dismiss it,not sarcastic,1,2,4,3,2024-12-16T07:08:52.432Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Papa Johns in my area basically gives away their pizza. I can smell the desperation in the store,neutral,0,1,3,4,2024-12-16T07:09:16.183Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Don't threaten me as that is not vandalism. What is wrong with a nude photo of Barack's mom?,impolite,1,3,4,3,2024-12-16T07:09:29.494Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I enjoy being at work and can't wait to come in everyday and see all my happy colleagues,sarcastic,1,5,2,3,2024-12-16T07:09:50.616Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Based on what? Don't you think a little discussion is in order before doing this?,impolite,1,4,4,3,2024-12-16T07:10:21.297Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Lmao I hope I'm not the only one who gets this,positive,1,4,3,2,2024-12-16T07:10:44.699Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,When is abortion a responsible choice? When a woman chooses it to be,favoring,1,4,3,4,2024-12-16T07:11:02.347Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Imagine having to pretend you didn't edit your link. The inferiority is dripping off you.,neutral,0,2,4,4,2024-12-16T07:11:25.676Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Thanks, I didn't notice the earlier discussion. Would you consider (if you haven't done so yet) adding some indication on either page that these are the same user?",polite,1,3,4,3,2024-12-16T07:11:52.409Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,It's because the polio vaccine actually works. That's why there was no skepticism unlike today. And yeah can confirm fully vaccinated people die from covid. I see it everyday in the hospital I work in but you probably know more than I do.,favoring,0,5,4,3,2024-12-16T07:12:29.314Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,As a former fetus I oppose,against,1,5,4,4,2024-12-16T07:12:47.225Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I'm sorry that's what you read because it isn't what I said.,negative,0,2,2,4,2024-12-16T07:13:18.287Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Sadly enough I was thinking the same.,negative,1,4,3,3,2024-12-16T07:13:31.258Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Note them where? On their talk page, or by adding them to the list you created at ArbCom so a clerk can notify them?",impolite,0,4,1,4,2024-12-16T07:14:33.490Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"They started seeling alcohol a while ago, when she called her mafia friend to get help for the speakeasy.",neutral,0,2,4,4,2024-12-16T07:15:01.133Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I'm not certain that the sun actually bothered rising today. We were encased in mirky twilight all day.,neutral,0,1,4,4,2024-12-16T07:15:16.498Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I just found that Barcelona and Real Madrid are playing on Sunday... I need sleeping pills...,neutral,0,3,4,4,2024-12-16T07:15:35.744Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"making us look like punks, disappointing",negative,1,4,2,3,2024-12-16T07:15:48.629Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"So hard to book a jab, turn up, be jabbed, wait a bit and then get on with your life.  Why bother?",sarcastic,1,3,4,3,2024-12-16T07:16:24.668Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Drinks last night was a bit messy. May get some more beers tonight. Not sure though.,not sarcastic,1,1,4,4,2024-12-16T07:16:43.491Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Do  you think that it is safe to go to a large outdoor party where people need to show proof of vaccination  (not booster) or proof of a recent negative COVID test?,favoring,0,3,3,5,2024-12-16T07:17:05.862Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,One day I'm gonna set an abortion clinic on fire. Anyone wanna join?,against,1,5,3,3,2024-12-16T07:17:24.963Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Wikipedia is not IMDb, which can easily be used (and is more suited) to providing complete soundtrack listings for pretty much every movie ever made. Would you care to address any of the other points I've brought up?",impolite,0,2,3,4,2024-12-16T07:17:46.671Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I don't ask people their vaccination status. That's a personal decision. We should all be happy and enjoy the holiday season with all of our friends and family.,neutral,1,3,3,4,2024-12-16T07:18:15.881Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,impolite,0,5,4,4,2024-12-16T07:18:51.476Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,On my bday I'm always so grateful to my bio parents who gave me up for,against,1,2,4,4,2024-12-16T07:19:05.592Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"I keep forgetting, when it's vaccination location selection time, that I usually sleep on my left side (and arm) a lot more than my right.  Hence this 3am tweet.",favoring,1,3,2,5,2024-12-16T07:19:31.105Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Very nice. How could I doubt you?,polite,1,5,5,4,2024-12-16T07:19:43.624Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,tomorrow I've to wake up early so Zayn's erformance on VMA better be true otherwise u'll regret for playing with my emotions and sleep,positive,0,1,2,3,2024-12-16T07:20:03.112Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",sarcastic,0,4,2,3,2024-12-16T07:20:18.203Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,Is a tough one for sure but has increased vaccination rates in Singapore. There is not a pandemic of smoking or not wearing seatbelts. In fact behaviour around both is improving. Vaccinating is not exactly hard. You hardly feel the prick on your arm.,favoring,0,4,3,4,2024-12-16T07:20:51.062Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Thank you! Now get rid of all mandates, including vax for state and other workers, and all mask mandates, which are unlawful and violate human rights. And they do nothing to protect anyone from any virus infection.",against,1,2,2,3,2024-12-16T07:21:16.315Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,All the ladies can stay at my place.,positive,1,5,5,4,2024-12-16T07:21:32.878Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,It's so weird how I look ugly in photos but I also look ugly in the mirror,sarcastic,0,5,3,4,2024-12-16T07:21:45.696Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,It's crazy to treat ppl this way. Washington University came out and said natural immunity could last a lifetime. No I.D to vote but vaccine card to exercise,against,1,2,3,4,2024-12-16T07:22:01.469Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"The ambitious goal to fully vaccinate the entire adult population is proving difficult. People are not returning to receive their second dose, and motivating them poses complex challenges.",neutral,1,1,4,3,2024-12-16T07:22:18.427Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,I've also heard that intriguing but also kinda scary,negative,0,4,1,2,2024-12-16T07:22:46.330Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,How many jabs do you want us to have? 10? 20?,not sarcastic,0,5,4,4,2024-12-16T07:23:03.255Z
5988055f631d0c000149a5ac,2024-12-16T07:01:29.101Z,"Thank you for your support.  My reaction to the vaccine. is not fun, by a long shot.  Some people are lucky and only have a sore arm.  But other people do have reactions.  We don't know if the booster will truly help us. Getting the shot is risky for some peole.  I wish you luck.",neutral,0,2,3,4,2024-12-16T07:23:16.685Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Drinks last night was a bit messy. May get some more beers tonight. Not sure though.,not sarcastic,1,5,3,3,2024-12-16T06:41:35.934Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",sarcastic,0,3,3,1,2024-12-16T06:42:32.126Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"Thank you! Now get rid of all mandates, including vax for state and other workers, and all mask mandates, which are unlawful and violate human rights. And they do nothing to protect anyone from any virus infection.",against,1,4,4,2,2024-12-16T06:43:26.656Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"Thank you for your support.  My reaction to the vaccine. is not fun, by a long shot.  Some people are lucky and only have a sore arm.  But other people do have reactions.  We don't know if the booster will truly help us. Getting the shot is risky for some peole.  I wish you luck.",neutral,0,4,3,3,2024-12-16T06:44:18.538Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,All the ladies can stay at my place.,positive,1,5,4,4,2024-12-16T06:44:47.297Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Papa Johns in my area basically gives away their pizza. I can smell the desperation in the store,neutral,0,3,4,4,2024-12-16T06:45:19.470Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Is a tough one for sure but has increased vaccination rates in Singapore. There is not a pandemic of smoking or not wearing seatbelts. In fact behaviour around both is improving. Vaccinating is not exactly hard. You hardly feel the prick on your arm.,favoring,0,4,2,1,2024-12-16T06:46:18.350Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,One day I'm gonna set an abortion clinic on fire. Anyone wanna join?,against,1,5,5,1,2024-12-16T06:47:16.106Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,It's because the polio vaccine actually works. That's why there was no skepticism unlike today. And yeah can confirm fully vaccinated people die from covid. I see it everyday in the hospital I work in but you probably know more than I do.,favoring,0,2,3,1,2024-12-16T06:48:49.572Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I'm sorry that's what you read because it isn't what I said.,negative,0,3,2,3,2024-12-16T06:49:20.372Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I'm not certain that the sun actually bothered rising today. We were encased in mirky twilight all day.,neutral,0,3,4,3,2024-12-16T06:49:59.331Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,When is abortion a responsible choice? When a woman chooses it to be,favoring,1,5,2,2,2024-12-16T06:50:50.245Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I don't ask people their vaccination status. That's a personal decision. We should all be happy and enjoy the holiday season with all of our friends and family.,neutral,1,3,5,4,2024-12-16T06:51:28.727Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I just know the government is gonna lock us all down in spite because they can't have their Xmas party,not sarcastic,0,2,2,1,2024-12-16T06:52:18.844Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I love my friends,not sarcastic,1,5,4,2,2024-12-16T06:52:59.176Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"So hard to book a jab, turn up, be jabbed, wait a bit and then get on with your life.  Why bother?",sarcastic,1,2,3,3,2024-12-16T06:53:37.648Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"The proper title of this image should be Eszopiclone.svg, since it depicts the S enantiomer. Could you change the title so I can upload an image of the racemic compound instead?",polite,1,4,3,4,2024-12-16T06:54:11.233Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"I keep forgetting, when it's vaccination location selection time, that I usually sleep on my left side (and arm) a lot more than my right.  Hence this 3am tweet.",favoring,1,3,3,1,2024-12-16T06:55:01.313Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I truly believe that and that's why I'm against Planned Parenthood.,against,1,5,3,3,2024-12-16T06:55:44.851Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Sadly enough I was thinking the same.,negative,1,5,2,4,2024-12-16T06:56:21.370Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,It's so weird how I look ugly in photos but I also look ugly in the mirror,sarcastic,0,3,2,3,2024-12-16T06:56:47.903Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Based on what? Don't you think a little discussion is in order before doing this?,impolite,1,4,3,3,2024-12-16T06:57:23.602Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"thanks for your input, it was such a pleasure interacting with you, now that the overlapping projects assessment are done, we need never interact again. projects opting out of policy, how charming, some projects are more equal than others, can i take a vote on SI project opting out of copyright vios?",polite,0,2,2,1,2024-12-16T06:58:14.976Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Do  you think that it is safe to go to a large outdoor party where people need to show proof of vaccination  (not booster) or proof of a recent negative COVID test?,favoring,0,2,2,1,2024-12-16T06:59:10.359Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I just found that Barcelona and Real Madrid are playing on Sunday... I need sleeping pills...,neutral,0,3,2,2,2024-12-16T06:59:46.025Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"Thanks, I didn't notice the earlier discussion. Would you consider (if you haven't done so yet) adding some indication on either page that these are the same user?",polite,1,4,4,4,2024-12-16T07:00:37.887Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for!,neutral,0,1,2,1,2024-12-16T07:01:04.173Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,impolite,0,4,1,1,2024-12-16T07:01:33.325Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Holy shit bro,negative,1,4,2,4,2024-12-16T07:01:52.957Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"making us look like punks, disappointing",negative,1,5,3,4,2024-12-16T07:02:08.909Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,"The ambitious goal to fully vaccinate the entire adult population is proving difficult. People are not returning to receive their second dose, and motivating them poses complex challenges.",neutral,1,2,3,3,2024-12-16T07:02:38.295Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,It's crazy how you can tell someone what you're going through 1000x and they just dismiss it,not sarcastic,1,4,4,3,2024-12-16T07:03:01.084Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Lmao I hope I'm not the only one who gets this,positive,1,4,2,2,2024-12-16T07:03:34.599Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Imagine having to pretend you didn't edit your link. The inferiority is dripping off you.,neutral,0,1,4,1,2024-12-16T07:04:13.462Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,I've also heard that intriguing but also kinda scary,negative,0,4,1,1,2024-12-16T07:04:33.495Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,Don't threaten me as that is not vandalism. What is wrong with a nude photo of Barack's mom?,impolite,1,4,3,3,2024-12-16T07:05:05.735Z
59ed2107ae9f950001d848f6,2024-12-16T06:40:09.301Z,On my bday I'm always so grateful to my bio parents who gave me up for,against,1,1,2,3,2024-12-16T07:06:19.072Z
